order_id,user_id,order_date,status,total_amount,shipping_address,created_at,updated_at
1001,290,2023-01-06 04:55:02,processing,5487.25,8699 Gina Hill,2021-05-18 08:18:08,2022-06-10 09:39:02
1002,737,2023-02-21 09:01:07,processing,7534.47,49 5th Park,2021-12-03 19:51:42,2022-02-14 09:58:58
1003,780,2023-10-06 15:52:11,processing,3765.76,9117 Declaration Street,2021-11-22 18:18:32,2022-08-24 21:50:25
1004,171,2023-08-16 06:09:24,delivered,7727.59,9 Barby Pass,2021-05-28 08:15:39,2022-04-06 00:51:10
1005,648,2023-09-23 13:46:34,pending,9969.53,159 Drewry Crossing,2021-07-14 14:57:18,2022-05-05 03:35:46
1006,215,2023-11-17 10:42:20,shipped,4278.48,669 Comanche Terrace,2021-11-21 04:03:39,2022-09-30 18:33:08
1007,388,2023-03-30 12:53:59,shipped,3461.17,012 Loeprich Plaza,2021-12-26 01:18:05,2022-06-15 06:30:59
1008,270,2023-05-02 13:58:30,delivered,8612.07,4582 Brentwood Terrace,2021-12-25 21:43:48,2022-10-04 03:33:40
1009,452,2023-09-21 02:46:29,pending,9865.7,1566 Surrey Hill,2021-01-28 06:45:51,2022-09-09 18:08:19
1010,437,2023-02-23 13:01:39,pending,3727.83,23 Mayer Drive,2021-06-28 17:24:19,2022-06-07 22:22:04
1011,165,2023-12-05 00:18:31,pending,3060.51,957 Northridge Place,2021-08-04 08:32:45,2022-02-06 09:06:25
1012,768,2023-06-29 01:54:50,shipped,1080.75,5702 Waxwing Way,2021-11-12 07:18:28,2022-03-19 07:09:34
1013,665,2023-10-03 20:28:47,pending,4746.32,19 Ridgeview Trail,2021-04-29 10:39:41,2022-06-16 17:36:33
1014,183,2023-05-26 17:58:54,processing,91.41,1 Ronald Regan Place,2021-06-18 02:11:37,2022-11-26 23:44:38
1015,697,2023-12-29 15:43:26,processing,4708.26,7 Maple Wood Place,2021-07-05 21:21:47,2022-09-03 01:14:24
1016,965,2023-03-07 07:15:42,shipped,2754.0,8410 Oak Valley Crossing,2021-07-15 14:00:48,2022-03-16 01:45:48
1017,983,2023-07-10 08:09:00,delivered,8241.91,3888 Sage Way,2021-08-26 10:05:45,2022-03-11 04:46:04
1018,802,2023-06-17 23:52:31,shipped,8213.58,675 Lillian Hill,2021-06-23 03:16:19,2022-06-18 11:40:03
1019,516,2023-08-19 19:03:50,shipped,81.0,97 Kropf Plaza,2021-12-10 02:22:20,2022-05-28 08:14:25
1020,551,2023-03-05 03:56:43,delivered,437.26,9688 Chinook Street,2021-09-23 09:33:07,2022-07-14 06:07:10
1021,497,2023-06-24 22:44:55,processing,8766.45,4479 American Junction,2021-09-06 13:23:12,2022-01-31 00:26:48
1022,661,2023-05-14 13:02:32,shipped,9640.23,35 Briar Crest Drive,2021-01-17 17:19:24,2022-07-14 08:25:03
1023,716,2023-06-20 05:25:40,delivered,9453.11,44 Stone Corner Street,2021-10-14 20:52:50,2022-07-17 04:33:36
